key,name,iata,web,type,dateFundation,mail,phone
airline-19,"Lorem ipsum","ABR","http://www.lorem-ipsum.org/dolor/sit/amet;/consectetur/adipiscing/elit;/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-20,"Lorem ipsum","ABS","http://www.lorem-ipsum.org/dolor/sit/amet;/consectetur/adipiscing/elit;/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-21,"Lorem ipsum","ABT","https://www.lorem-ipsum.org",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-22,"Lorem ipsum","ABU","http://www.lorem-ipsum.org/dolor/sit.html",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-23,"Lorem ipsum","ABV","http://www.lorem-ipsum.org/dolor/sit.html",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-24,"Lorem ipsum","ABW","http://www.lorem-ipsum.org/dolor/sit.html#dolor",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-25,"Lorem ipsum","ABA","http://example.org?a=1&b=2",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-26,"Lorem ipsum","ABY","http://example.org?",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-27,"Lorem ipsum","ABZ","http://example.org?a",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-28,"Lorem ipsum","ACB","http://example.org?a&b",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-29,"Lorem ipsum","ACC","http://example.org/",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-30,"Lorem ipsum","ACD","http://example.org/a",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-31,"Lorem ipsum","ACE","http://example.org/a/b",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-32,"Lorem ipsum","ACF","http://example.org/a/b?",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-33,"Lorem ipsum","ACG","http://example.org/a/b?a&b",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"

# type - standard variations
airline-34,"Lorem ipsum","ACH","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-35,"Lorem ipsum","ACI","http://lorem.com/ipsum",ESTÁNDAR,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-36,"Lorem ipsum","ACJ","http://lorem.com/ipsum",BAJO_COSTO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"

# fundationMoment - standard variations
airline-37,"Lorem ipsum","ACK","http://lorem.com/ipsum",LUJO,2012/07/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-38,"Lorem ipsum","ACL","http://lorem.com/ipsum",LUJO,2000/01/01 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-39,"Lorem ipsum","ACM","http://lorem.com/ipsum",LUJO,2000/01/01 00:01,"acme@lorem-ipsum.org","+34987654321"
#airline-40,"Lorem ipsum","ACN","http://lorem.com/ipsum",LUJO,2024/12/31 23:59,"acme@lorem-ipsum.org","+34987654321"
#airline-41,"Lorem ipsum","ACO","http://lorem.com/ipsum",LUJO,2025/01/01 00:00,"acme@lorem-ipsum.org","+34987654321"

# mail - standard variations
airline-42,"Lorem ipsum","ACP","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-43,"Lorem ipsum","ACQ","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acmepassword@lorem-ipsum.org","+34987654321"
airline-44,"Lorem ipsum","ACR","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"a@b.e","+34987654321"
airline-45,"Lorem ipsum","ACS","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"a@b.es","+34987654321"
airline-46,"Lorem ipsum","ACT","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"a@b.esx","+34987654321"
airline-47,"Lorem ipsum","ACU","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","+34987654321"

# phone - standard variations
airline-48,"Lorem ipsum","ACV","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+3498765432"
airline-49,"Lorem ipsum","ACW","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+349876"
airline-50,"Lorem ipsum","ACX","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+3498765"
airline-51,"Lorem ipsum","ACY","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321234"
airline-52,"Lorem ipsum","ACZ","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+349876543212345"
